disease	sampletype	gene_a	refseq_a	chr_a	position_a	gene_b	refseq_b	chr_b	position_b	Discordant_readcount	TARGET_CASE_ID	strand_a	strand_b
ALL	diagnosis	ADAMTS14	NM_080722	chr10	72448629			chr15	92293292	7	10-CAAABC	-	-
ALL	diagnosis	LMO2	NM_005574	chr11	33897940			chr11	78145574	73	10-CAAABC	+	-
ALL	diagnosis	LMO2	NM_005574	chr11	33898414	SIK3	NM_025164	chr11	116876709	66	10-CAAABC	-	+
ALL	diagnosis	STAG2	NM_001042749	chrX	123186774	STAG2	NM_001042749	chrX	123220388	19	10-CAAABC	+	+
ALL	diagnosis	PAPD4	NM_001114393	chr5	78952927			chr5	79586213	7	10-CAAABD	+	+
ALL	diagnosis			chr14	78096624	SNW1	NM_012245	chr14	78211999	20	10-CAAABD	-	-
ALL	diagnosis	CACNA1E	NM_000721	chr1	181705962			chr1	219973623	150	10-CAAABF	+	-
ALL	diagnosis			chr1	224247133	EPHA3	NM_005233	chr3	89516021	6	10-CAAABF	-	+
ALL	diagnosis	FOSL2	NM_005253	chr2	28617471	FOSL2	NM_005253	chr2	28627646	92	10-CAAABF	-	-
ALL	diagnosis	PAX5	NM_016734	chr9	36912765	PAX5	NM_016734	chr9	36976796	32	10-CAAABF	+	+
ALL	diagnosis	NAIF1	NM_197956	chr9	130828919	SLC25A25	NM_001006641	chr9	130837931	6	10-CAAABF	+	+
ALL	diagnosis	SFMBT2	NM_001029880	chr10	7391907	SFMBT2	NM_001029880	chr10	7442035	110	10-CAAABF	+	+
ALL	diagnosis			chr10	90423978	LIPF	NM_004190	chr10	90425612	72	10-CAAABF	-	-
ALL	diagnosis			chr17	44329589	BRWD1	NM_018963	chr21	40564351	9	10-CAAABF	+	+
ALL	diagnosis	P2RY8	NM_178129	chrX	1636033			chrX	5656459	4	10-CAAABF	-	+
ALL	diagnosis	LINC00299	NR_034135	chr2	8463495	ID2	NM_002166	chr2	8823028	88	10-PAKHZT	+	+
ALL	diagnosis	MAP3K2	NM_006609	chr2	128083401			chr2	128144697	34	10-PAKHZT	+	+
ALL	diagnosis			chr3	23013227	UBE2E2	NM_152653	chr3	23260813	66	10-PAKHZT	+	+
ALL	diagnosis	GRIK2	NM_001166247	chr6	101896599	GRIK2	NM_001166247	chr6	102260609	56	10-PAKHZT	+	+
ALL	diagnosis			chr8	58368046	RBPJL	NM_014276	chr20	43941967	3	10-PAKHZT	-	+
ALL	diagnosis			chr9	21902423	CDKN2B	NM_004936	chr9	22008303	178	10-PAKHZT	+	+
ALL	diagnosis	ADD3	NM_001121	chr10	111768605	ADD3	NM_001121	chr10	111868793	39	10-PAKHZT	+	+
ALL	diagnosis	RAG1	NM_000448	chr11	36599136	C11orf74	NM_138787	chr11	36638040	18	10-PAKHZT	+	+
ALL	diagnosis	PTGES3	NM_006601	chr12	57081186			chr12	57104697	115	10-PAKHZT	+	+
ALL	diagnosis	UNK	NM_001080419	chr17	73789241	RNF213	NM_020914	chr17	78302528	38	10-PAKHZT	-	-
ALL	diagnosis	MGAT5B	NM_144677	chr17	74910166	RNF213	NM_020914	chr17	78308904	31	10-PAKHZT	+	+
ALL	diagnosis	C19orf57	NM_024323	chr19	14006276	ASF1B	NM_018154	chr19	14244772	34	10-PAKHZT	-	-
ALL	diagnosis	SIGLEC5	NM_003830	chr19	52125675	SIGLEC5	NM_003830	chr19	52127163	13	10-PAKHZT	+	-
ALL	diagnosis			chr20	10415630	SLX4IP	NM_001009608	chr20	10456212	53	10-PAKHZT	+	+
ALL	diagnosis			chr20	57530547	ATP5E	NM_001001977	chr20	57607040	17	10-PAKHZT	+	+
ALL	diagnosis			chrX	43848045	KDM6A	NM_021140	chrX	44733782	73	10-PAKHZT	+	+
ALL	diagnosis	ADAR	NM_001025107	chr1	154580280			chr1	154615230	35	10-PAKKCA	+	+
ALL	diagnosis	PAX5	NM_016734	chr9	36951019	ZCCHC7	NM_032226	chr9	37284580	8	10-PAKKCA	+	-
ALL	diagnosis	GABPB1	NM_002041	chr15	50646313	USP8	NM_001128610	chr15	50771839	35	10-PAKKCA	+	+
